name,radius,period,duration,source
TOI-1284.01,2.558112,1.283251,2.012261,TESS
TOI-1285.01,1.866263,1.2284388,1.9190118,TESS
TOI-1286.01,10.4852,0.6166953,0.712,TESS
TOI-1287.01,2.4070295,9.6001126,4.9882857,TESS
TOI-1288.01,4.94551,2.6998294,2.208,TESS
TOI-1289.01,2.2014886,0.581322,1.3261177,TESS
TOI-129.01,5.9162923,0.980972,0.5405036,TESS
TOI-1290.01,2.25345,5.3987355,3.127,TESS
TOI-1291.01,5.05452,7.16199,7.668,TESS
TOI-1292.01,17.0442,1.4412175,1.666,TESS
TOI-1293.01,3.76716,1.6849938,0.916,TESS
TOI-1294.01,9.43435,3.9152737,2.562,TESS
TOI-1295.01,14.9685779,3.1968838,3.7533697,TESS
TOI-1296.01,14.5727196,3.9443668,4.8652146,TESS
TOI-1297.01,14.8838,3.93034,3.667,TESS
TOI-1298.01,9.8153513,4.5371361,4.042155,TESS
TOI-130.01,2.2963233,14.3392144,4.6064739,TESS
TOI-1300.01,18.1267,2.8716983,4.668,TESS
TOI-1301.01,2.5856853,6.0964074,2.3632965,TESS
TOI-1302.01,14.8589,5.6666168,3.604,TESS
TOI-1303.01,18.4825,1.56029,2.751,TESS
TOI-1304.01,6.0401,8.8735214,4.059,TESS
TOI-1306.01,23.7824,7.6869063,4.652,TESS
TOI-1308.01,22.2329,1.3797091,2.352,TESS
TOI-131.01,16.0959,6.2407826,1.513,TESS
TOI-1310.01,11.8862,2.6796,2.771,TESS
TOI-1311.01,26.5174686,6.1406417,2.3525428,TESS
TOI-1312.01,12.8076,11.0765063,4.692,TESS
TOI-1313.01,8.84136,0.6193401,1.514,TESS
TOI-1314.01,18.2671,2.6400663,3.368,TESS
TOI-1315.01,18.687,2.5778717,3.472,TESS
TOI-1316.01,8.57193,3.80509,3.347,TESS
TOI-1317.01,24.2511,2.99041,3.952,TESS
TOI-1319.01,2.89678,0.890967,1.784,TESS
TOI-132.01,3.6396725,2.1096805,2.1344043,TESS
TOI-1321.01,20.5525,1.19888,1.558,TESS
TOI-1323.01,6.42307,2.03905,2.26,TESS
TOI-1324.01,9.70968,2.9424142,4.073,TESS
TOI-1325.01,3.31116,1.0793011,2.196,TESS
TOI-1327.01,27.6744,3.9392211,2.379,TESS
TOI-1328.01,6.47219,4.0157492,2.706,TESS
TOI-1329.01,7.3626,2.01976,3.394,TESS
TOI-133.01,1.9226211,8.1995368,2.1168277,TESS
TOI-1331.01,12.1711,2.65646,2.475,TESS
TOI-1333.01,15.2105,4.7201912,4.416,TESS
TOI-1334.01,23.4514,4.03349,2.684,TESS
TOI-1335.01,14.3988,3.3295394,2.77,TESS
TOI-1336.01,13.8394,3.8615978,1.678,TESS
TOI-1337.01,21.2012,3.3448312,3.322,TESS
TOI-1338.01,7.8498891,95.174,11.6316864,TESS
TOI-1339.01,3.20594,8.8803281,2.71,TESS
TOI-1339.02,3.1455035,28.580474,4.5139977,TESS
TOI-1339.03,3.2843583,38.3511223,5.9120193,TESS
TOI-134.01,1.4616853,1.4015183,1.1583061,TESS
TOI-1340.01,5.3744721,8.5874668,5.1458902,TESS
TOI-1341.01,48.9878,6.4474918,2.643,TESS
TOI-1343.01,5.34279,3.4040139,4.837,TESS
TOI-1344.01,25.7481,13.7432169,2.73,TESS
TOI-1345.01,16.9325,8.47134,6.989,TESS
TOI-1346.01,2.7049797,5.5025577,3.1711008,TESS
TOI-1346.02,2.5235818,1.7622537,0.8779711,TESS
TOI-1347.01,1.7536544,0.8474218,0.8758764,TESS
TOI-1347.02,1.6177405,4.8420438,2.4105648,TESS
TOI-1348.01,1.83828,2.14056,2.029,TESS
TOI-1349.01,2.7546,12.71672,2.529,TESS
TOI-135.01,17.0952,4.1269046,4.405,TESS
TOI-1350.01,17.4013,5.5402372,7.713,TESS
TOI-1352.01,13.3622,5.2958813,2.882,TESS
TOI-1353.01,9.91393,4.4350025,2.252,TESS
TOI-1354.01,9.00484,1.4287976,2.93,TESS
TOI-1355.01,15.2590586,2.1702725,2.1417853,TESS
TOI-1357.01,2.96097,0.33759,1.351,TESS
TOI-1358.01,5.10182,1.67346,2.54,TESS
TOI-1359.01,13.4294,2.5152549,2.386,TESS
TOI-136.01,1.3543237,0.4628844,0.5588219,TESS
TOI-1360.01,5.18865,0.70902,2.49,TESS
TOI-1361.01,10.2256,2.237462,2.991,TESS
